epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,817.531,1.52047,1.28684,0.00688,0.66147,0.57802,0.59868,0.36639,1.35253,0.98804,0.00663,0.000999758,0.000999758,0.00102392
2,1585.96,1.37268,1.00771,0.00614,0.6072,0.62069,0.64418,0.40211,1.30569,0.89005,0.00633,0.000989183,0.000989183,0.000989183
3,2352.37,1.32316,0.93751,0.00587,0.62965,0.60281,0.67013,0.42867,1.27646,0.85958,0.00612,0.000957205,0.000957205,0.000957205
4,3118.72,1.29123,0.89531,0.0057,0.72663,0.61712,0.6757,0.44233,1.23953,0.82168,0.00597,0.000905463,0.000905463,0.000905463
5,3880.45,1.26345,0.86329,0.00555,0.63528,0.67318,0.70103,0.46517,1.2013,0.77888,0.0057,0.00083622,0.00083622,0.00083622
6,4648.21,1.24061,0.833,0.00543,0.66493,0.64342,0.70479,0.47329,1.17828,0.77337,0.0056,0.0007525,0.0007525,0.0007525
7,5415.77,1.21547,0.80564,0.0053,0.65832,0.67952,0.71163,0.47587,1.18615,0.75719,0.00561,0.000657963,0.000657963,0.000657963
8,6188.1,1.19719,0.78751,0.00518,0.63109,0.69562,0.71487,0.48508,1.17325,0.74714,0.00549,0.000556742,0.000556742,0.000556742
9,6968.28,1.17314,0.75525,0.00503,0.64944,0.69588,0.72588,0.4938,1.15606,0.73734,0.00542,0.000453258,0.000453258,0.000453258
10,7748.5,1.15633,0.73855,0.00493,0.65573,0.70784,0.73098,0.4989,1.15076,0.72046,0.00537,0.000352037,0.000352037,0.000352037
11,8522.56,1.13658,0.71757,0.00484,0.66156,0.69953,0.73494,0.50425,1.14729,0.71712,0.00535,0.0002575,0.0002575,0.0002575
12,9295.51,1.1183,0.69494,0.00474,0.68096,0.69962,0.73974,0.50931,1.13746,0.7111,0.0053,0.00017378,0.00017378,0.00017378
13,10073.5,1.03781,0.59015,0.00437,0.65941,0.72276,0.74221,0.51159,1.13633,0.7113,0.00529,0.000104537,0.000104537,0.000104537
14,10842.9,1.02748,0.57816,0.00431,0.67662,0.70752,0.74279,0.51291,1.13181,0.71039,0.00527,5.2795e-05,5.2795e-05,5.2795e-05
15,11620.5,1.02452,0.57503,0.00429,0.67649,0.71036,0.7429,0.51317,1.13165,0.71023,0.00527,2.08169e-05,2.08169e-05,2.08169e-05
